country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gambia,0.0000042,0.0000151,0.0000234,0.0000245,0.0000274,0.000143,0.000266,0.000351,0.00046,0.00053,0.000569,0.00054,0.000613,0.000515,0.000457,0.00109,0.000788,0.000773,0.0008,0.00113,0.00125,0.0014,0.00161,0.00173,0.00254,0.00407,0.0054,0.00657,0.00757,0.00759
Georgia,0,0,0,0.00115,0.001,0.0000619,0.01,0.01,0.0078,0.0067,0.005,0.00407,0.00399,0.00295,0.00157,0.00173,0.00151,0.00283,0.00304,0.00365,0.0026,0.00248,0.00228,0.00167,0.00166,0.00161,0.00159,0.00162,0.00174,0.00188
Germany,0,0.0000001,0.0000001,0.0000001,0.0000056,0.0000048,0.0000052,0.0000054,0.0000085,0.0000159,0.0000145,0.0000127,0.0000114,0.0000089,0.000001,0.000001,0.0000014,0.0000016,0.000002,0.0000021,0.000002,0.0000022,0.0000022,0.0000022,0.0000022,0.000002,0.0000009,0.0000008,0.0000009,0.0000009
Ghana,0.000318,0.000309,0.000305,0.000278,0.000863,0.000799,0.000864,0.000825,0.000743,0.000707,0.000766,0.000737,0.000775,0.000765,0.000694,0.000845,0.000445,0.000221,0.000562,0.000616,0.000815,0.000802,0.000935,0.000792,0.000813,0.000825,0.000546,0.000581,0.000608,0.000606
Greece,0.0000016,0.0000006,0.0000001,0.0000001,0.0000088,0.0000207,0.0000231,0.0000163,0.0000159,0.0000149,0.0000113,0.0000087,0.0000269,0.0000241,0.0000199,0.0000295,0.0000081,0.0000083,0.0000061,0.0000057,0.0000047,0.0000052,0.0000047,0.0000085,0.0000106,0.0000105,0.0000099,0.0000096,0.0000102,0.0000093
Grenada,0.0000415,0.0000415,0.0000103,0,0.0000302,0.0000598,0.000109,0.000118,0.000196,0.000352,0.000233,0.000513,0.000704,0.00074,0.000949,0.00145,0.00192,0.00282,0.00296,0.00315,0.00325,0.00302,0.00294,0.00305,0.00298,0.00246,0.000916,0.000929,0.00087,0.000723
Guatemala,0.00518,0.00555,0.00556,0.00506,0.00488,0.00412,0.00379,0.00344,0.00294,0.00247,0.00178,0.00141,0.00114,0.000536,0.000342,0.000258,0.000485,0.00045,0.000424,0.000403,0.000388,0.000407,0.000418,0.000424,0.00047,0.000633,0.000757,0.000962,0.00111,0.0013
Guinea,0,0.0000003,0.0000028,0.0000045,0.000015,0.0000607,0.0000701,0.0000846,0.000118,0.000143,0.000182,0.00024,0.000398,0.000442,0.000536,0.000639,0.000735,0.00087,0.000975,0.0011,0.00118,0.00126,0.00132,0.00134,0.00137,0.00149,0.00149,0.00168,0.00189,0.0021
Guinea-Bissau,0.00513,0.00502,0.00491,0.0048,0.0047,0.000762,0.000771,0.000766,0.0077,0.00271,0.000737,0.000755,0.000786,0.00076,0.000775,0.000781,0.000729,0.000728,0.000736,0.000747,0.00074,0.000718,0.000735,0.000742,0.000772,0.000847,0.000927,0.00101,0.00109,0.00109
Guyana,0.0000027,0.0000013,0.0000027,0.0000053,0.0000936,0.0000814,0.0000723,0.0000501,0.0000544,0.0000654,0.0000482,0.0000483,0.0000658,0.000105,0.00026,0.000544,0.00072,0.000907,0.000948,0.000972,0.000999,0.00103,0.00106,0.00105,0.000917,0.000666,0.000353,0.000329,0.000363,0.000368
Haiti,0.000297,0.000259,0.00034,0.000518,0.00129,0.0018,0.00192,0.00193,0.00166,0.00105,0.000893,0.000842,0.000882,0.000848,0.00102,0.00147,0.00223,0.00235,0.00239,0.00246,0.0026,0.00333,0.00376,0.00372,0.00352,0.00325,0.00274,0.00259,0.00248,0.00237
Honduras,0.0000036,0.0000041,0.0000078,0.000083,0.000219,0.000214,0.000214,0.000206,0.000177,0.000167,0.000137,0.000116,0.0000971,0.000085,0.0000665,0.0000717,0.000136,0.000158,0.00014,0.000143,0.000157,0.000232,0.000302,0.000375,0.000464,0.000752,0.00113,0.00153,0.00197,0.00271
Hungary,0.000556,0.000457,0.000386,0.000484,0.000432,0.000227,0.000298,0.000259,0.000121,0.0000781,0.0000507,0.0000935,0.000346,0.000335,0.000272,0.000349,0.00031,0.000338,0.000162,0.000154,0.000145,0.000125,0.00011,0.000124,0.000129,0.000148,0.000298,0.000342,0.000404,0.000413
Iceland,0,0,0,0,0,0,0.0000148,0.0000183,0.0000182,0.000018,0.0000178,0,0.0000456,0.0000417,0.0000344,0.0000237,0.000103,0.0000229,0.0000225,0.0000127,0.0000125,0.0000093,0.0000092,0.0000061,0.000003,0,0,0,0.0000119,0.0000177
India,0.0000002,0.0000005,0.0000011,0.0000016,0.0000035,0.0000052,0.0000077,0.0000089,0.0000095,0.0000095,0.0000108,0.0000108,0.0000131,0.0000123,0.0000118,0.0000142,0.0000153,0.0000173,0.0000163,0.000016,0.0000144,0.000013,0.0000113,0.0000086,0.0000081,0.0000075,0.0000055,0.0000059,0.0000071,0.0000088
Indonesia,0.0000395,0.0000334,0.0000364,0.0000415,0.000045,0.0000499,0.0000569,0.0000434,0.000044,0.0000432,0.0000433,0.0000418,0.0000456,0.0000737,0.000125,0.000152,0.000151,0.0000885,0.0000822,0.0000763,0.0000698,0.0000656,0.0000625,0.0000587,0.0000565,0.000054,0.0000499,0.0000472,0.0000454,0.0000446
Iran,0.00135,0.00226,0.00219,0.00193,0.002,0.00183,0.00167,0.00149,0.00141,0.00134,0.00135,0.00139,0.00206,0.0018,0.00167,0.00143,0.00145,0.000959,0.000958,0.000998,0.000933,0.000969,0.00101,0.000982,0.00106,0.00108,0.00118,0.00147,0.00159,0.00156
Iraq,0.0651,0.0739,0.073,0.0407,0.0384,0.0357,0.0344,0.033,0.0305,0.0282,0.0224,0.0219,0.0169,0.0144,0.0119,0.00974,0.0529,0.0827,0.0671,0.0616,0.0566,0.0465,0.0234,0.0121,0.0108,0.00742,0.00863,0.00965,0.00969,0.00876
Ireland,0,0,0,0,0.0000008,0.0000006,0.0000006,0.0000003,0,0,0.0000008,0.0000008,0.0000018,0.0000015,0.0000007,0.0000051,0.0000009,0.0000023,0.0000016,0.0000016,0.0000018,0.0000017,0.000002,0.0000019,0.0000022,0.0000019,0.0000011,0,0.0000008,0.0000008
Israel,0.0000036,0.0000061,0.0000084,0.0000239,0.000174,0.000178,0.000208,0.000177,0.000146,0.0000821,0.00007,0.0000599,0.0000914,0.0000995,0.000105,0.0000968,0.000132,0.000225,0.000213,0.000182,0.000177,0.000178,0.000176,0.000135,0.000125,0.0001,0.000061,0.0000557,0.0000599,0.0000543
Italy,0,0,0,0.0000001,0.0000026,0.0000021,0.000002,0.000002,0.0000014,0.0000009,0.0000008,0.0000006,0.0000039,0.0000036,0.0000033,0.0000037,0.0000018,0.0000015,0.0000011,0.0000008,0.0000008,0.000001,0.0000011,0.0000011,0.0000011,0.0000012,0.0000008,0.0000008,0.0000011,0.0000013
Jamaica,0,0,0,0.0000012,0.0000028,0.0000039,0.000007,0.0000081,0.0000103,0.0000125,0.0000139,0.0000138,0.0000546,0.0000956,0.000128,0.000179,0.00024,0.000277,0.000297,0.000325,0.000376,0.000442,0.000495,0.000526,0.000588,0.000646,0.00069,0.000756,0.000836,0.000862
Japan,0,0,0,0,0.0000001,0,0,0,0,0,0,0,0.0000001,0.0000001,0.0000002,0.0000001,0.0000013,0.0000041,0.0000014,0.0000012,0.0000012,0.0000014,0.0000013,0.0000012,0.000002,0.0000011,0.0000005,0.0000003,0.0000004,0.0000003
Jordan,0.0000154,0.0000298,0.000046,0.0000576,0.0001,0.000112,0.00015,0.000148,0.000182,0.000193,0.000179,0.000149,0.000242,0.000214,0.000209,0.00031,0.000268,0.000286,0.000288,0.000309,0.00031,0.000294,0.000293,0.000192,0.000193,0.000199,0.000202,0.000215,0.000245,0.000238
Kazakhstan,0,0,0.0000001,0.0000001,0.0000017,0.0000088,0.00257,0.00265,0.00135,0.000603,0.00017,0.000188,0.000422,0.000434,0.000401,0.00028,0.000474,0.000333,0.000304,0.000233,0.000223,0.000212,0.000213,0.000125,0.000129,0.000129,0.000133,0.000132,0.000138,0.000149
Kenya,0.0000004,0.0000013,0.0000025,0.0000033,0.000326,0.000336,0.000328,0.000325,0.0002,0.000197,0.0000742,0.0000779,0.0000918,0.0000912,0.000108,0.000127,0.000142,0.000195,0.000244,0.000235,0.000205,0.000203,0.000202,0.000189,0.000183,0.000165,0.000154,0.00015,0.000146,0.000153
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0.0000344,0.00018,0.000354,0.000357,0.000435,0.000394,0.000385,0.000327,0.000321,0.000315,0.00031,0.000185,0.0000274,0.000018,0.0000089,0,0.0000086,0.0000085
Kuwait,0.000021,0.0000231,0.0000387,0.0000502,0.000456,0.000474,0.000525,0.000482,0.000453,0.000508,0.000338,0.000333,0.000332,0.000285,0.000181,0.000168,0.00026,0.000298,0.000321,0.000333,0.00033,0.000353,0.000357,0.000277,0.000266,0.000283,0.000258,0.000267,0.000304,0.000311
Kyrgyz Republic,0,0,0,0.0000002,0.0000031,0.0000048,0.0037,0.00347,0.00156,0.000824,0.000152,0.000138,0.000591,0.000626,0.000653,0.000615,0.000486,0.000435,0.000479,0.00049,0.000506,0.000573,0.000621,0.000401,0.000419,0.00042,0.000424,0.000445,0.000467,0.000463
Lao,0.0319,0.0279,0.0214,0.0161,0.0116,0.012,0.00947,0.0074,0.00564,0.00409,0.00302,0.00233,0.00205,0.00186,0.00285,0.00425,0.00452,0.00168,0.00142,0.00137,0.00135,0.00127,0.00124,0.00118,0.00113,0.00109,0.00106,0.00101,0.000983,0.000942
Latvia,0,0,0.0000015,0.0000015,0.0000366,0.0000638,0.00079,0.000781,0.000417,0.000377,0.000206,0.000262,0.00132,0.00138,0.00124,0.00108,0.00064,0.000301,0.000351,0.000369,0.000336,0.000339,0.00032,0.000114,0.000105,0.0000966,0.0000871,0.0000805,0.0000809,0.0000776
Lebanon,0.00249,0.00291,0.00333,0.00328,0.0046,0.00383,0.00302,0.0028,0.00265,0.00205,0.00266,0.0022,0.00629,0.00568,0.00435,0.0039,0.00257,0.00275,0.00272,0.00338,0.0032,0.00289,0.00273,0.000646,0.000683,0.000669,0.000706,0.000775,0.000822,0.000849
Lesotho,0.0000023,0.0000023,0,0.0000302,0,0,0.000001,0.0000015,0.0000015,0.0000015,0.000002,0.0000005,0.000002,0.000003,0.0000035,0.000003,0.0000045,0.0000035,0.000004,0.000005,0.0000055,0.0000055,0.0000065,0.0000074,0.0000083,0.0000083,0.0000058,0.0000029,0.0000052,0.0000061
Liberia,0.354,0.33,0.26,0.356,0.402,0.364,0.363,0.212,0.145,0.109,0.0937,0.0828,0.0911,0.115,0.107,0.0718,0.0482,0.0264,0.0208,0.0191,0.018,0.0166,0.00566,0.00413,0.00311,0.00223,0.00143,0.00127,0.00115,0.00109
Libya,0.000131,0.000185,0.000147,0.000126,0.000138,0.000126,0.0000558,0.0000535,0.0000833,0.000108,0.000115,0.000163,0.000263,0.000279,0.000301,0.000272,0.000267,0.000327,0.000344,0.000359,0.000373,0.000702,0.000835,0.000524,0.000661,0.000949,0.00136,0.0017,0.00208,0.00237
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000526
Lithuania,0.0000011,0.0000011,0.0000022,0.000003,0.0000173,0.0000301,0.000184,0.000181,0.0000793,0.0000731,0.0000465,0.0000622,0.000398,0.000451,0.000438,0.000433,0.000285,0.000143,0.000152,0.000158,0.000165,0.000171,0.000161,0.0000731,0.0000616,0.0000491,0.0000253,0.0000221,0.000025,0.0000246
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000022,0.0000022,0.0000043,0.0000042,0,0,0,0,0,0.0000018,0.0000036,0.0000035,0.0000035,0,0.000005,0.0000065
Madagascar,0,0.0000001,0.0000001,0.0000001,0.0000002,0.0000059,0.0000057,0.0000053,0.0000045,0.0000035,0.0000034,0.0000025,0.0000032,0.0000051,0.0000076,0.0000111,0.0000138,0.0000146,0.0000139,0.0000133,0.0000128,0.0000133,0.0000135,0.0000129,0.0000119,0.0000118,0.0000119,0.0000108,0.0000113,0.0000112
Malawi,0.0000056,0.0000052,0.0000052,0.0000045,0.0000062,0.0000038,0.0000039,0.0000033,0.0000027,0.0000031,0.000003,0.0000022,0.0000041,0.0000049,0.0000076,0.000008,0.0000087,0.0000073,0.0000077,0.0000092,0.0000118,0.0000148,0.000018,0.0000206,0.0000222,0.0000254,0.0000248,0.0000237,0.0000262,0.0000327
Malaysia,0,0.0000002,0.0000002,0.0000002,0.0000041,0.0000039,0.0000049,0.000004,0.0000041,0.0000038,0.0000035,0.0000033,0.0000049,0.0000097,0.0000116,0.0000153,0.0000223,0.000023,0.0000223,0.0000192,0.0000196,0.0000187,0.0000183,0.0000165,0.0000157,0.0000145,0.0000149,0.000017,0.0000261,0.0000362
Maldives,0.0000045,0.0000044,0,0,0,0,0.0000039,0.0000038,0.0000075,0.000011,0.0000143,0.0000105,0.0000102,0.0000033,0.0000096,0.0000407,0.0000519,0.0000507,0.0000466,0.0000453,0.000052,0.0000552,0.0000604,0.0000746,0.0000828,0.0000923,0.00012,0.000109,0.000142,0.000143
Mali,0.0000001,0.0017,0.00804,0.0108,0.0185,0.00806,0.00561,0.00178,0.000357,0.0000364,0.0000333,0.0000276,0.0000457,0.0000385,0.000039,0.0000407,0.000045,0.000329,0.000125,0.000201,0.000243,0.000277,0.00938,0.00929,0.00822,0.00884,0.00871,0.00812,0.0083,0.00837
Malta,0.0000028,0.0000027,0.0000027,0,0.0000187,0.0000345,0.0000473,0.0000365,0.0000439,0.0000563,0.0000406,0.0000177,0.0000201,0.0000175,0.0000074,0.0000124,0.0000689,0.0000221,0.000022,0.0000219,0.0000145,0.0000144,0.0000142,0.0000141,0.0000116,0.0000023,0,0,0.0000091,0.0000091
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000353,0.0000527,0.0000525,0.0000522,0.000052,0.000121,0.00012,0.000119
Mauritania,0.0324,0.0383,0.0371,0.0309,0.0302,0.0364,0.0351,0.0289,0.0281,0.0117,0.0113,0.0111,0.0108,0.0107,0.0106,0.0105,0.0107,0.0103,0.0138,0.0115,0.0108,0.0111,0.00911,0.00897,0.00868,0.00857,0.00871,0.00852,0.00842,0.00827
Mauritius,0,0,0,0,0.0000009,0.0000115,0.0000114,0.0000026,0.0000129,0.0000068,0.0000295,0.0000293,0.0000358,0.0000505,0.0000156,0.0000221,0.0000651,0.0000575,0.0000194,0.0000185,0.0000224,0.0000336,0.0000495,0.0000645,0.0000748,0.0000818,0.000088,0.0000989,0.000127,0.000144
Mexico,0,0,0,0,0.0000028,0.0000039,0.0000056,0.000007,0.0000106,0.0000139,0.0000131,0.0000159,0.0000164,0.000016,0.0000167,0.0000218,0.0000307,0.000051,0.0000556,0.0000572,0.0000597,0.0000646,0.0000719,0.000079,0.0000886,0.000093,0.0000842,0.0000934,0.000102,0.000115
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0.0000014,0.000105,0.000122,0.00135,0.0012,0.000647,0.00057,0.000632,0.000892,0.00242,0.00267,0.00286,0.0029,0.00282,0.00119,0.00135,0.00145,0.00152,0.00154,0.00151,0.000542,0.000548,0.000562,0.00057,0.00057,0.000593,0.000602
Monaco,0,0,0,0,0,0,0.0000323,0.000032,0.0000317,0.0000314,0.0000311,0,0.0000305,0.0000302,0,0,0,0,0,0.0000284,0.0000562,0.000111,0.00011,0.0000813,0.0000804,0.0000795,0.0000788,0,0.0000776,0.000077
Mongolia,0.0000005,0.0000005,0.0000004,0.0000004,0.0000018,0.0000017,0.000003,0.0000039,0.0000081,0.0000105,0.0000096,0.0000248,0.000115,0.000131,0.000177,0.000259,0.000339,0.000425,0.000507,0.000559,0.000634,0.000717,0.000748,0.000714,0.000736,0.000733,0.000748,0.000709,0.000711,0.000736
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219,0.000899,0.00206,0.00414,0.0052,0.00591,0.00648,0.000872,0.000969,0.00104,0.00114,0.00111,0.00114,0.00105
Morocco,0.0000006,0.0000017,0.0000035,0.000004,0.0000068,0.0000112,0.0000108,0.0000112,0.0000126,0.0000132,0.0000136,0.0000125,0.0000431,0.0000433,0.0000438,0.0000959,0.000153,0.00013,0.000112,0.0000716,0.0000706,0.0000705,0.0000724,0.0000388,0.000045,0.0000515,0.0000644,0.0000861,0.000108,0.000128
Mozambique,0.0961,0.0988,0.105,0.0816,0.0157,0.00811,0.00217,0.00205,0.0000035,0.000002,0.0000017,0.0000025,0.0000069,0.0000057,0.0000052,0.0000051,0.000011,0.0000102,0.0000093,0.0000059,0.0000056,0.0000064,0.0000064,0.0000022,0.0000022,0.0000021,0.0000018,0.0000013,0.000002,0.0000026
Myanmar,0.0000007,0.000956,0.00578,0.00656,0.00471,0.00347,0.00322,0.00302,0.00292,0.00285,0.00294,0.00309,0.00311,0.00314,0.00332,0.00337,0.00411,0.00386,0.00369,0.00809,0.00821,0.00813,0.00808,0.00925,0.00916,0.00858,0.00924,0.0217,0.0213,0.02
Namibia,0.000371,0.000138,0.0000099,0.0000855,0.0000408,0.000008,0.0000072,0.0000012,0.0011,0.000397,0.00129,0.00126,0.000703,0.000688,0.000689,0.000633,0.00061,0.000562,0.000482,0.000443,0.00048,0.000498,0.0005,0.000512,0.000551,0.000552,0.000579,0.000565,0.000546,0.000186
Nauru,0,0,0,0,0,0,0,0,0,0.000287,0.00029,0,0,0.0003,0,0,0.000305,0.000305,0.000304,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0.0000001,0,0.0000002,0.0000013,0.000002,0.0000023,0.0000044,0.0000079,0.0000098,0.0000126,0.0000365,0.0000491,0.0000557,0.0000802,0.000101,0.000127,0.000157,0.00019,0.000218,0.000254,0.000282,0.000301,0.000318,0.000336,0.000307,0.000304,0.000306,0.000287
Netherlands,0,0,0,0,0.0000049,0.0000055,0.0000062,0.0000049,0.0000036,0.0000018,0.0000009,0.0000002,0.0000019,0.0000027,0.0000029,0.0000097,0.0000024,0.0000026,0.0000028,0.0000026,0.0000032,0.0000038,0.0000042,0.0000038,0.000004,0.0000041,0.0000022,0.000002,0.0000028,0.0000034
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0.0000005,0.0000002,0.0000007,0.000001,0.0000019,0.0000031,0.0000023,0.0000023,0.0000034,0.0000041,0.0000045,0.0000038,0.0000037,0.0000041,0.000006,0.0000072,0.000008,0.0000077
Nicaragua,0.0126,0.011,0.0101,0.00741,0.00627,0.00515,0.00481,0.00466,0.00436,0.00412,0.001,0.000855,0.000776,0.000753,0.00034,0.000269,0.000331,0.00034,0.000271,0.000257,0.000246,0.000249,0.000256,0.000254,0.000258,0.000237,0.000225,0.00023,0.000259,0.000669
Niger,0,0.0000002,0.00257,0.00252,0.0024,0.00108,0.00105,0.000274,0.0000401,0.000047,0.0000435,0.0000411,0.0000684,0.0000576,0.0000525,0.0000481,0.0000578,0.0000563,0.0000522,0.0000519,0.0000488,0.0000479,0.0000468,0.0000369,0.0000384,0.0000695,0.0000594,0.0000622,0.000121,0.000132
Nigeria,0.0000002,0.0000002,0.0000008,0.000001,0.0000056,0.000018,0.000043,0.000027,0.0000344,0.0000372,0.000047,0.0000485,0.000191,0.000185,0.000177,0.000159,0.000093,0.000095,0.0000943,0.000101,0.0000987,0.000105,0.000108,0.000181,0.000516,0.000927,0.00123,0.00125,0.00141,0.00147
North Korea,0,0,0,0,0.0000001,0.0000003,0.0000005,0,0.0000004,0.0000006,0.0000006,0.0000008,0.0000111,0.0000129,0.0000145,0.000012,0.0000165,0.000025,0.0000364,0.0000361,0.0000374,0.0000426,0.0000456,0.0000468,0.0000512,0.0000437,0.0000562,0.0000457,0.0000314,0.0000297
North Macedonia,0,0,0,0.000956,0.000175,0.0065,0.00656,0.00637,0.000964,0.00103,0.00107,0.00597,0.00396,0.00291,0.00248,0.00417,0.00385,0.00391,0.00364,0.00383,0.00381,0.00371,0.00366,0.000784,0.000847,0.000855,0.000835,0.000784,0.000831,0.000861
